"Name","Team","G","PA","HR","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","OPS","HR/FB","wRC","wRAA","WPA","O-Swing% (sc)","Z-Swing% (sc)","Swing% (sc)","O-Contact% (sc)","Z-Contact% (sc)","Contact% (sc)","Zone% (sc)","UBR","Pull%","Oppo%","EV","LA","Barrel%","maxEV","HardHit%","Events","CSW%","xBA","xSLG","playerid","mlbamid"
"Shohei Ohtani","LAA","135","599","44","15.2%","23.9%",".350",".342",".304",".412",".654",".433",".428","180","3.4","60.6","-14.5","6.6","1.066","31.2%","130","57.3","4.13","30.0%","69.2%","48.2%","50.4%","81.2%","71.0%","46.5%","1.7","38.9%","24.9%","94.4","13.2","19.3%","118.6","53.3%","362","26.5%",".294",".634","19755","660271"
"Ronald Acuna Jr.","ATL","159","735","41","10.9%","11.4%",".258",".338",".337",".416",".596",".428",".463","170","7.6","71.7","-13.6","8.3","1.012","24.0%","156","66.7","6.87","22.7%","69.2%","46.2%","67.6%","87.9%","83.0%","50.6%","2.2","39.7%","24.7%","94.7","7.4","15.3%","121.2","55.0%","562","21.4%",".356",".660","18401","660670"
"Aaron Judge","NYY","106","458","37","19.2%","28.4%",".346",".300",".267",".406",".613",".420",".468","174","1.0","41.9","-4.0","5.3","1.019","30.8%","95","38.8","3.09","18.0%","66.6%","41.3%","30.9%","76.9%","66.5%","48.0%","0.3","45.0%","20.8%","97.6","20.4","27.5%","116.9","64.2%","240","29.8%",".291",".721","15640","592450"
"Corey Seager","TEX","119","536","33","9.1%","16.4%",".296",".340",".327",".390",".623",".419",".413","169","-5.4","38.8","4.1","6.1","1.013","21.0%","110","44.6","4.42","29.9%","80.3%","55.2%","44.6%","89.1%","77.0%","50.1%","-4.4","41.5%","24.1%","93.3","13.0","15.2%","114.4","53.2%","395","20.0%",".312",".608","13624","608369"
"Mookie Betts","LAD","152","693","39","13.9%","15.4%",".272",".316",".307",".408",".579",".416",".411","167","3.5","60.8","-1.6","8.3",".987","16.7%","141","56.5","5.21","17.9%","58.4%","38.1%","56.6%","93.7%","84.9%","49.8%","2.3","46.3%","18.3%","92.4","20.6","12.5%","110.1","48.1%","482","26.2%",".295",".565","13611","605141"
"Yordan Alvarez","HOU","114","496","31","13.9%","18.5%",".290",".306",".293",".407",".583",".415",".440","170","-2.6","38.9","-10.7","4.5",".990","21.2%","100","40.0","4.72","27.8%","62.2%","43.7%","62.9%","88.1%","79.5%","46.1%","-2.7","39.1%","27.6%","93.3","17.1","18.0%","117.7","52.2%","322","25.1%",".299",".625","19556","670541"
"Matt Olson","ATL","162","720","54","14.4%","23.2%",".321",".302",".283",".389",".604",".413",".394","160","1.5","55.4","-12.6","6.7",".993","27.8%","144","56.4","4.45","25.9%","70.5%","46.8%","64.1%","79.1%","74.6%","46.8%","2.3","38.2%","24.5%","93.7","16.1","16.4%","118.6","55.1%","445","24.9%",".263",".561","14344","621566"
"Freddie Freeman","LAD","161","730","29","9.9%","16.6%",".235",".370",".331",".410",".567",".411",".409","163","5.1","61.8","-7.5","7.9",".976","15.0%","145","55.9","4.49","27.0%","75.5%","51.0%","66.2%","87.0%","81.4%","49.5%","1.4","36.5%","27.8%","90.0","15.2","11.1%","110.6","41.8%","521","20.8%",".320",".564","5361","518692"
"Yandy Diaz","TBR","137","600","22","10.8%","15.7%",".192",".367",".330",".410",".522",".402",".381","164","-7.0","39.1","-12.1","4.7",".932","17.7%","115","41.5","4.60","19.2%","64.3%","42.6%","58.9%","89.8%","83.1%","51.7%","-2.2","31.4%","27.5%","93.4","5.7","9.5%","114.5","54.0%","433","25.1%",".301",".479","16578","650490"
"Nolan Jones","COL","106","424","20","12.5%","29.7%",".245",".401",".297",".389",".542",".395",".360","135","3.0","21.4","1.2","3.7",".931","22.2%","79","27.0","2.53","25.9%","56.4%","41.5%","60.1%","75.1%","70.6%","51.2%","-0.3","37.6%","30.6%","90.1","9.8","15.7%","115.3","40.9%","242","32.0%",".247",".492","20529","666134"
