Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
2022,"Aaron Judge","NYY",157,696,62,133,131,16,0.159482758,0.251436781,0.375438597,0.340236686,0.310526315,0.424855491,0.685964912,0.45819643976784036,,208.50778293517092,1.0428462442941964,86.02709709113154,-0.930609941482544,11.235476812007132,"Aaron Judge",15640,592450
2018,"Mookie Betts","BOS",136,614,32,129,80,30,0.131921824,0.148208469,0.294230769,0.368159203,0.346153846,0.438110749,0.640384615,0.4488968918032379,,184.99660549238607,7.738495205994695,70.12706289466097,7.706669330596924,10.174025385215646,"Mookie Betts",13611,605141
2013,"Mike Trout","LAA",157,716,27,109,97,33,0.153631284,0.189944134,0.234295416,0.375576036,0.322580645,0.431564245,0.556876061,0.4227442390182538,,176.4962821487691,8.230859719216824,70.45931472860872,0.4609699249267578,10.147354319451788,"Mike Trout",10155,545361
2012,"Mike Trout","LAA",139,639,30,129,83,49,0.10485133,0.217527386,0.237924866,0.382871536,0.325581395,0.399061032,0.563506261,0.4088878291798389,,167.0447102829289,14.273971825838089,64.36990603721742,10.151262372732162,10.064276550104799,"Mike Trout",10155,545361
2012,"Buster Posey","SFG",148,610,24,78,103,1,0.113114754,0.157377049,0.213207547,0.367541766,0.335849056,0.408196721,0.549056603,0.4062992496474663,,163.89136245226115,-4.597411662340164,41.84953314241509,32.80073082447052,9.765358163225853,"Buster Posey",9166,457763
2007,"Alex Rodriguez","NYY",158,708,54,143,156,24,0.13418079,0.169491525,0.331046312,0.30861244,0.313893653,0.422316384,0.644939965,0.44467263037026183,,174.88953362146358,7.712872710078955,74.2080315508686,-0.5241900682449341,9.578493218060926,"Alex Rodriguez",1274,121347
2011,"Jacoby Ellsbury","BOS",158,732,32,119,105,39,0.071038251,0.133879781,0.23030303,0.336448598,0.321212121,0.376033057,0.551515151,0.4000047904047473,,149.70519809821803,5.106314685661346,47.473174790011576,17.96582007408142,9.468869760807447,"Jacoby Ellsbury",4727,453056
2018,"Mike Trout","LAA",140,608,39,101,79,24,0.200657894,0.203947368,0.316348196,0.346153846,0.31210191,0.459637561,0.628450106,0.4465609106820883,,188.31611192100485,3.8123076972551644,68.00396417914193,3.0542850643396378,9.455435936570305,"Mike Trout",10155,545361
2015,"Bryce Harper","WSN",153,654,42,118,99,6,0.189602446,0.20030581,0.318618042,0.369318181,0.330134357,0.460244648,0.648752399,0.4611676558269208,,197.24357534438096,3.6296342520508915,77.733842723612,-10.170899868011475,9.315627448168296,"Bryce Harper",11579,547180
2015,"Mike Trout","LAA",159,682,41,104,90,11,0.13489736,0.231671554,0.290434783,0.34383202,0.299130434,0.40175953,0.589565217,0.41484167270674677,,170.5541279329869,3.000386737519875,58.681956130835296,6.64070999622345,9.298946813865467,"Mike Trout",10155,545361
2023,"Ronald Acuña Jr.","ATL",159,735,41,149,106,73,0.108843537,0.114285714,0.258164853,0.3378119,0.337480559,0.41632653,0.595645412,0.42759725475897553,,170.37525923869939,8.842866329010576,72.92339201225806,-7.815511107444763,8.974643554737092,"Ronald Acuna Jr.",18401,660670
2015,"Josh Donaldson","TOR",158,711,41,122,123,6,0.102672292,0.187060478,0.270967742,0.313596491,0.296774193,0.370944992,0.567741935,0.3976065180197421,,154.36343348697363,4.049022236606106,48.77719362464611,10.058280110359192,8.7109654526546,"Josh Donaldson",5038,518626
2017,"Aaron Judge","NYY",155,678,52,128,114,9,0.187315634,0.30678466,0.343173432,0.356643356,0.284132841,0.421828908,0.627306273,0.4301848456241202,,173.81717355747818,-1.1668145442381501,60.58246069176867,4.543410301208496,8.710895759189144,"Aaron Judge",15640,592450
2008,"Albert Pujols","STL",148,641,37,100,116,7,0.162246489,0.084243369,0.295801526,0.340136054,0.356870229,0.461778471,0.652671755,0.45893221838273957,,184.35163504283193,-0.15093795396387577,67.71859309264913,-0.9834098815917969,8.703590031966442,"Albert Pujols",1177,405395
2009,"Ben Zobrist","TBR",152,599,27,91,91,17,0.151919866,0.173622704,0.245508982,0.326203208,0.297405189,0.404682274,0.542914171,0.40705837545170126,,152.1768128267735,4.625623390078545,43.65769415098858,22.29973617196083,8.694743272676106,"Ben Zobrist",7435,450314
2016,"Mike Trout","LAA",159,681,29,123,100,30,0.170337738,0.201174743,0.234972677,0.37113402,0.315118397,0.440528634,0.550091074,0.4181869367669338,,170.13313891335955,5.117925729602575,62.461292628573986,-0.7977030277252197,8.66573289384357,"Mike Trout",10155,545361
2013,"Miguel Cabrera","DET",148,652,44,103,137,3,0.138036809,0.144171779,0.288288289,0.355608591,0.347747747,0.441717791,0.636036036,0.4550532951927486,,192.57736004670463,-5.988424313720316,62.59008742283132,-3.9954097270965576,8.594129016624102,"Miguel Cabrera",1744,408234
2010,"Josh Hamilton","TEX",133,571,32,95,100,8,0.075306479,0.166374781,0.274131274,0.389873417,0.359073359,0.410526315,0.633204633,0.4453088726617594,,175.03538295488192,4.925732832401991,55.33568564135278,5.945500373840332,8.41733139710216,"Josh Hamilton",1875,285078
2009,"Albert Pujols","STL",160,700,47,124,135,16,0.164285714,0.091428571,0.330985916,0.298924731,0.327464788,0.442857142,0.658450704,0.4471824294546755,,180.00590606846308,1.574122054502368,70.49841097070565,-8.79630994796753,8.369636021623329,"Albert Pujols",1177,405395
2007,"David Wright","NYM",160,711,30,113,107,34,0.132208157,0.161744022,0.221854304,0.356223175,0.324503311,0.416315049,0.546357615,0.413392182191213,,150.87502288907908,6.434664536267519,53.398039963658206,8.71754002571106,8.350317447192557,"David Wright",3787,431151
2009,"Joe Mauer","MIN",138,606,28,94,96,4,0.125412541,0.103960396,0.221797323,0.372997711,0.365200764,0.443894389,0.586998087,0.4381923333213136,,169.9259301842836,-2.1237543895840645,50.79725259396744,11.325720310211182,8.335563171778746,"Joe Mauer",1857,408045
2019,"Alex Bregman","HOU",156,690,41,122,112,5,0.172463768,0.120289855,0.296028881,0.280821917,0.29602888,0.423188405,0.592057761,0.4184302968341251,,167.2947956420142,-1.1528773275204003,58.193663344085714,2.5297690629959106,8.327528191300713,"Alex Bregman",17678,608324
2008,"Brian McCann","ATL",145,573,23,68,87,5,0.099476439,0.111692844,0.22200393,0.305882352,0.30058939,0.373472949,0.52259332,0.3857546500036712,,135.1503474744112,-4.78516985476017,20.49660492605981,44.26220893859863,8.288961609997509,"Brian McCann",4810,435263
2011,"Matt Kemp","LAD",161,689,39,115,126,40,0.107402031,0.23076923,0.262458472,0.379562043,0.323920265,0.399129172,0.586378737,0.4131017839998231,,168.21196835896774,5.632079677190632,59.91388255634565,-2.653550148010254,8.287885476089516,"Matt Kemp",5631,461314
2014,"Mike Trout","LAA",157,705,36,115,111,16,0.117730496,0.260992907,0.274086379,0.349489795,0.287375415,0.377304964,0.561461794,0.402371046966067,,166.65508185367855,6.182289473712444,57.83524051211861,-4.465480089187622,8.286720330311674,"Mike Trout",10155,545361
2008,"Chase Utley","PHI",159,707,33,113,104,14,0.090523338,0.147100424,0.243822075,0.30125523,0.291598023,0.379603399,0.535420098,0.38851563735848904,,134.289269066083,7.184702813625336,37.614632926624644,21.79199981689453,8.184303067107422,"Chase Utley",1679,400284
2009,"Chase Utley","PHI",156,687,31,112,93,23,0.128093158,0.160116448,0.225919439,0.29953917,0.281961471,0.397379912,0.50788091,0.3944207895220372,,140.85065717380766,12.268392840400338,46.80725218951466,13.375620365142822,8.176845326108332,"Chase Utley",1679,400284
2011,"José Bautista","TOR",149,655,43,105,103,9,0.201526717,0.169465648,0.306042885,0.308539944,0.302144249,0.447328244,0.608187134,0.442633078328781,,180.47445163988743,4.903218183666468,66.28121561907302,-11.134300231933594,8.112280210039152,"Jose Bautista",1887,430832
2006,"Albert Pujols","STL",143,634,49,119,137,7,0.14511041,0.078864353,0.340186916,0.291571753,0.330841121,0.430599369,0.671028037,0.4471084331915324,,174.07986087100923,1.5878480453975499,62.997188242104585,-0.1465005874633789,8.111305521455689,"Albert Pujols",1177,405395
2013,"Andrew McCutchen","PIT",157,674,21,97,84,27,0.115727002,0.149851632,0.190394511,0.352688172,0.317324185,0.40356083,0.507718696,0.39272258450977754,,156.30905546242502,6.375219753943384,49.05979683274072,5.517989873886108,8.07953904299567,"Andrew McCutchen",9847,457705
2007,"Magglio Ordonez","DET",157,679,28,117,139,4,0.111929307,0.116347569,0.231932773,0.381338742,0.36302521,0.433628318,0.594957983,0.4381726135068865,,169.45275743006306,-1.3912430256605148,57.750607763985386,1.1403303146362305,8.037428453627177,"Magglio Ordonez",248,120044
2018,"Alex Bregman","HOU",157,705,31,105,103,10,0.136170212,0.120567375,0.245791245,0.288981288,0.286195286,0.394326241,0.531986531,0.3956214189529419,,156.85309829659033,3.427131292875856,51.34288419891653,1.3026899099349976,7.901581332088005,"Alex Bregman",17678,608324
2007,"Curtis Granderson","DET",158,676,23,122,74,26,0.076923076,0.208579881,0.25,0.36,0.302287581,0.360655737,0.552287581,0.3875694243672365,,135.5942341426987,9.866855468600988,40.04287783664776,17.49333953857422,7.895137180559009,"Curtis Granderson",4747,434158
2006,"Grady Sizemore","CLE",162,751,28,134,76,22,0.103861517,0.203728362,0.242748092,0.338912133,0.290076335,0.374666666,0.532824427,0.38329296677581703,,132.25278899389107,9.20553790521808,40.4868381583241,15.245280265808105,7.892154443051496,"Grady Sizemore",2197,429713
2011,"Dustin Pedroia","BOS",159,731,21,102,91,26,0.117647058,0.116279069,0.166929134,0.324626865,0.307086614,0.386831275,0.474015748,0.37509368308517116,,132.78218904138902,2.0675073764286935,29.97165211806213,20.525299310684204,7.884824091834098,"Dustin Pedroia",8370,456030
2019,"Cody Bellinger","LAD",156,660,47,121,115,15,0.143939393,0.163636363,0.32437276,0.302211302,0.304659498,0.406060606,0.629032258,0.4149257560291201,,160.62221277269842,1.4359084696043283,54.224772390893826,5.832430362701416,7.878344752470247,"Cody Bellinger",15998,641355
2006,"Carlos Beltrán","NYM",140,617,41,127,116,18,0.153970826,0.160453808,0.319607844,0.262599469,0.274509803,0.387987012,0.594117647,0.40794678623559044,,148.35502899540748,9.262196375289932,48.271826037991794,12.307349562644958,7.8372491625959455,"Carlos Beltran",589,136860
2019,"Mike Trout","LAA",134,600,45,110,104,11,0.183333333,0.2,0.35319149,0.297734627,0.291489361,0.438333333,0.644680851,0.43643033280714383,,176.56433557784808,2.5871665033046156,61.301293515403856,-2.3959479928016663,7.834038515290899,"Mike Trout",10155,545361
2023,"Freddie Freeman","LAD",161,730,29,131,102,23,0.098630136,0.165753424,0.235478807,0.369918699,0.331240188,0.409589041,0.566718995,0.41057882659282524,,162.75702127819366,4.490593430120498,61.24556377552221,-7.608750343322754,7.813888078176265,"Freddie Freeman",5361,518692
2018,"Francisco Lindor","CLE",158,745,38,129,92,25,0.093959731,0.143624161,0.242057489,0.279383429,0.276853252,0.351752021,0.518910741,0.36836432761886495,,131.52311251876802,1.46191874332726,29.536961566406482,20.70662021636963,7.795160524709077,"Francisco Lindor",12916,596019
2023,"Mookie Betts","LAD",152,693,39,126,107,14,0.138528138,0.154401154,0.272260274,0.316027088,0.306506849,0.408369408,0.578767123,0.4164887763451839,,166.71894509281736,0.6984670348465443,57.97821846509597,-4.050219893455505,7.717968663699465,"Mookie Betts",13611,605141
2010,"Carl Crawford","TBR",154,663,19,110,90,47,0.069381598,0.156862745,0.188333334,0.342323651,0.306666666,0.356269113,0.495,0.36855276105224444,,134.51002113791327,13.255649775266647,40.175512007400286,11.081250190734863,7.709966610300252,"Carl Crawford",1201,408307
2017,"Jose Altuve","HOU",153,662,24,112,81,32,0.087613293,0.126888217,0.201694916,0.37037037,0.345762711,0.409984871,0.547457627,0.4050187865289149,,159.64130980108996,5.452047016238794,54.16561278825712,1.348516047000885,7.701669455186772,"Jose Altuve",5417,514888
2018,"Christian Yelich","MIL",147,651,36,118,110,22,0.104454685,0.207373271,0.271777003,0.372839506,0.325783972,0.402457757,0.597560975,0.42197743531184495,,167.08370527681993,6.346158465836197,59.665993147945294,-4.886417865753174,7.692052386900843,"Christian Yelich",11477,592885
2007,"Albert Pujols","STL",158,679,32,99,103,2,0.14580265,0.085419734,0.240707964,0.316770186,0.327433628,0.428571428,0.568141592,0.4189960778757499,,154.632432028609,-4.937068976461887,43.225028649262256,13.126500129699707,7.684901630296143,"Albert Pujols",1177,405395
