"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp"
2441,676113,"DeLoach, Zach",2023,2441,100,0.287,0.195,0.38,0.482,0.376,0.345,0.245,151,527,89.3,15.8,2184,88,87.83,370,1108,1333,-0.20000000000000284,6.22,115,145,118,150,289,321,295,"-16.2","16.2"
2437,676116,"Noda, Ryan",2022,2437,100,0.259,0.216,0.339,0.475,0.381,0.36,0.237,120,463,88.9,15.5,2172,87.5,87.47,316,1019,1418,0,6.26,114,155,131,149,287,323,296,"-33.2","33.2"
2400,660636,"Castillo, Diego A.",2023,2400,100,0.313,0.097,0.37,0.411,0.376,0.337,0.263,142,453,85.9,8,2252,88,87.51,152,841,1559,-0.5,6.28,107,149,117,146,302,325,291,"-25.4","25.4"
2395,669899,"Ward, Ryan",2023,2395,100,0.234,0.19,0.289,0.424,0.324,0.328,0.232,126,538,90.7,11.3,2207,88.1,88.32,371,1216,1177,0.20000000000000284,6.26,112,145,119,149,294,323,300,"7.3","-7.3"
2316,667452,"Julks, Corey",2022,2315,100,0.27,0.233,0.301,0.503,0.367,0.352,0.261,141,523,89,15,2221,87.6,87.48,235,967,1349,-0.09999999999999432,6.28,106,151,118,145,288,310,281,"-21.4","21.4"
2278,694175,"León, Pedro",2023,2278,100,0.245,0.191,0.318,0.437,0.34,0.306,0.207,118,481,84.6,11.8,2192,87.7,88.01,358,1108,1170,0.29999999999999716,6.33,107,150,115,145,291,314,284,"-3.8","3.8"
2260,688760,"Crim, Blaine",2023,2260,100,0.289,0.217,0.325,0.506,0.381,0.359,0.275,143,494,91,13.4,2209,87.8,87.99,223,994,1266,0.20000000000000284,6.28,107,150,119,145,300,321,290,"-21.2","21.2"
2215,673995,"Wendzel, Davis",2023,2215,100,0.236,0.241,0.259,0.477,0.361,0.321,0.214,107,453,86.8,23.1,2215,88,88.31,255,919,1296,0.29999999999999716,6.3,106,150,119,145,298,321,290,"-7.1","7.1"
2179,641829,"Martin, Jason",2022,2176,100.1,0.285,0.279,0.332,0.564,0.399,0.332,0.238,134,470,89.5,11.4,2167,88.3,87.97,278,984,1195,-0.29999999999999716,6.28,114,150,115,148,289,319,289,"-33.9","33.9"
2177,666703,"Rosario, Eguy",2022,2175,100.1,0.288,0.22,0.325,0.508,0.376,0.297,0.22,141,490,85.6,14.9,2250,87.3,87.71,281,1039,1138,0.4000000000000057,6.33,107,151,118,145,299,322,278,"-16.2","16.2"
2146,680716,"Ornelas, Jonathan",2023,2146,100,0.253,0.106,0.332,0.359,0.329,0.296,0.214,110,434,85.4,4,2234,87.9,88.09,205,800,1346,0.19999999999998863,6.31,106,149,116,145,298,320,289,"-0.9","0.9"
2130,679822,"Foscue, Justin",2023,2130,100,0.266,0.201,0.279,0.468,0.377,0.334,0.243,123,462,87.4,13.3,2202,88.3,88.47,153,863,1267,0.20000000000000284,6.28,107,149,119,145,298,321,292,"-29.4","29.4"
2111,694175,"León, Pedro",2022,2109,100.1,0.228,0.203,0.306,0.431,0.353,0.333,0.213,94,413,88.5,16.6,2199,87.1,87.05,283,913,1198,0,6.3,105,150,117,145,287,308,277,"-7.3","7.3"
2069,676939,"Herron, Jimmy",2023,2069,100,0.296,0.202,0.342,0.498,0.384,0.311,0.23,135,456,85.8,14.1,2242,88.4,88.9,197,916,1153,0.5,6.29,108,149,116,146,301,325,296,"-38.7","38.7"
2064,682183,"Avans, Drew",2022,2064,100,0.282,0.144,0.387,0.426,0.355,0.283,0.211,122,432,81.2,8.4,2175,88,88.01,233,908,1156,0,6.27,110,148,107,148,285,320,292,"-8.7","8.7"
2053,678489,"Barrosa, Jorge",2023,2053,100,0.274,0.182,0.313,0.456,0.371,0.326,0.24,113,412,86.7,12.1,2189,88.3,87.61,192,874,1179,-0.7000000000000028,6.31,110,146,109,148,294,324,299,"-16.7","16.7"
2038,656403,"Ellis, Drew",2022,2035,100.1,0.226,0.229,0.269,0.455,0.353,0.317,0.199,87,385,87.7,23.9,2215,87.4,87.09,230,845,1193,-0.30000000000001137,6.26,105,150,120,145,295,321,292,"-4.2","4.2"
2036,678246,"Vargas, Miguel",2022,2028,100.4,0.304,0.208,0.331,0.511,0.395,0.362,0.271,133,438,88.9,15,2212,88.1,88.18,192,926,1110,0.10000000000000853,6.3,104,151,118,146,287,321,280,"-37.2","37.2"
1991,683737,"Busch, Michael",2022,1988,100.2,0.266,0.214,0.327,0.48,0.355,0.335,0.241,118,444,89.7,13.2,2169,87.4,87.63,246,926,1065,0.19999999999998863,6.26,111,151,125,149,291,322,289,"-17.5","17.5"
1964,663796,"Montes, Coco",2023,1963,100.1,0.317,0.234,0.4,0.55,0.404,0.348,0.264,138,436,90.1,14.9,2208,87.9,88.22,260,951,1013,0.29999999999999716,6.3,107,150,118,145,302,326,296,"-38.6","38.6"
1958,657088,"Wall, Forrest",2022,1954,100.2,0.255,0.1,0.349,0.355,0.307,0.27,0.21,105,411,84.6,7.3,2201,88.1,88.1,207,859,1099,0,6.26,113,149,108,148,282,314,293,"12.4","-12.4"
1914,682073,"Hensley, David",2022,1914,100,0.298,0.179,0.383,0.478,0.392,0.366,0.263,113,379,90.6,5.4,2211,87.4,87.48,144,641,1273,0.09999999999999432,6.29,107,150,119,147,285,311,274,"-28.1","28.1"
1893,663796,"Montes, Coco",2022,1893,100,0.274,0.226,0.351,0.5,0.37,0.289,0.21,115,420,86.3,19.4,2233,87.4,87.87,279,909,984,0.5,6.3,105,150,117,145,289,320,290,"-8.3","8.3"
1862,683737,"Busch, Michael",2023,1862,100,0.323,0.295,0.356,0.618,0.44,0.404,0.284,126,390,91.5,15.1,2201,87.7,87.66,164,802,1060,0,6.23,114,145,120,149,294,325,299,"-47.6","47.6"
1857,668845,"Schunk, Aaron",2023,1857,100,0.29,0.17,0.364,0.461,0.347,0.295,0.249,133,458,85.9,14.8,2241,87.6,88.07,295,1037,820,0.5,6.32,108,150,119,146,301,327,297,"-2.2","2.2"
1844,671218,"Ramos, Heliot",2022,1844,100,0.227,0.122,0.283,0.349,0.292,0.293,0.227,97,427,90.6,7.8,2214,87.1,86.73,284,932,912,-0.3999999999999915,6.19,107,152,119,147,295,321,290,"17","-17"
1826,677941,"Adams, Jordyn",2023,1826,100,0.268,0.198,0.352,0.466,0.352,0.278,0.204,111,414,85.4,12,2232,87.8,87.75,275,849,977,-0.09999999999999432,6.28,106,149,113,147,301,325,290,"-8.8","8.8"
1793,671083,"Kennedy, Buddy",2023,1793,100,0.307,0.147,0.377,0.455,0.388,0.359,0.277,115,374,88.6,11.2,2234,88.6,88.13,118,670,1122,-0.5,6.28,105,149,119,147,300,327,293,"-33.7","33.7"
1792,663550,"Cabbage, Trey",2023,1792,100,0.306,0.289,0.394,0.596,0.409,0.368,0.264,128,418,90.6,12.2,2196,87.5,87.71,334,959,833,0.20000000000000284,6.25,114,145,122,150,302,334,301,"-25.2","25.2"
1787,666149,"Fitzgerald, Tyler",2023,1787,100,0.287,0.212,0.346,0.499,0.366,0.287,0.22,119,415,86.6,15.5,2209,87.6,87.59,269,922,865,0,6.27,105,149,113,145,300,321,290,"-12.7","12.7"
1763,680474,"Schuemann, Max",2023,1763,100,0.277,0.151,0.341,0.429,0.367,0.327,0.23,97,350,86.3,9.4,2205,88.3,88.56,166,705,1058,0.29999999999999716,6.27,108,151,116,147,301,328,293,"-23","23"
1758,660758,"Fabian, Sandro",2023,1758,100,0.289,0.235,0.297,0.524,0.361,0.296,0.247,128,443,86.8,14,2214,87.8,88,217,1006,751,0.20000000000000284,6.29,107,150,118,145,298,320,292,"-12.2","12.2"
1731,686676,"Lee, Korey",2022,1730,100.1,0.238,0.245,0.281,0.483,0.341,0.303,0.221,96,404,87.7,14.5,2219,87.1,87.24,301,919,812,0.10000000000000853,6.28,107,150,119,145,286,312,276,"-14.1","14.1"
1722,666150,"Fletcher, Dominic",2022,1721,100.1,0.301,0.152,0.369,0.452,0.356,0.308,0.255,119,396,87.6,11.6,2187,87,87.14,160,839,883,0.09999999999999432,6.16,114,150,114,150,288,319,298,"-5.4","5.4"
1705,656449,"Gatewood, Henry",2022,1692,100.8,0.211,0.228,0.258,0.439,0.299,0.272,0.197,83,394,89.2,19.2,2234,87.6,87.73,352,867,838,0.10000000000000853,6.19,104,150,122,147,297,324,292,"11.7","-11.7"
1677,656448,"Garrett, Stone",2022,1670,100.4,0.275,0.293,0.302,0.568,0.379,0.329,0.246,107,389,88.4,16.4,2222,87,87.08,264,865,812,0.09999999999999432,6.24,104,150,120,146,299,323,290,"-22.8","22.8"
1627,676900,"Dorow, Ryan",2022,1626,100.1,0.237,0.116,0.303,0.353,0.302,0.278,0.208,88,371,86.3,12,2213,88.2,88.2,200,750,877,0,6.27,106,149,117,146,292,311,277,"1.4","-1.4"
1624,660634,"Hernández, Yonny",2023,1624,100,0.252,0.09,0.32,0.342,0.338,0.312,0.222,81,322,82.3,8.7,2173,88.9,89.1,136,659,964,0.19999999999998863,6.25,109,147,106,148,287,314,292,"3.3","-3.3"
1587,668832,"McCann, Kyle",2023,1587,100,0.27,0.203,0.374,0.474,0.356,0.311,0.233,93,344,91.2,11,2215,88,88.13,244,737,850,0.09999999999999432,6.27,118,146,123,151,294,328,301,"-3.2","3.2"
1586,656821,"Padlo, Kevin",2023,1586,100,0.261,0.189,0.327,0.45,0.364,0.325,0.216,87,333,90.1,18.5,2201,88,87.73,191,650,936,-0.29999999999999716,6.27,107,149,121,146,304,330,293,"-14.1","14.1"
1584,676439,"Feduccia, Hunter",2023,1584,100,0.279,0.172,0.336,0.451,0.365,0.327,0.231,89,319,88.3,12.1,2209,88.5,88.59,140,632,952,0.09999999999999432,6.27,114,146,119,150,293,324,301,"-18.9","18.9"
1576,669471,"Mann, Devin",2023,2271,69.4,0.307,0.234,0.397,0.541,0.401,0.332,0.242,101,329,88.3,18.5,2223,87.9,87.68,187,678,897,-0.20000000000000284,6.26,107,150,118,145,299,323,295,"-34.7","34.7"
1573,666211,"Trammell, Taylor",2023,1573,100,0.269,0.263,0.323,0.532,0.391,0.358,0.238,85,316,89.4,15.6,2210,87.6,87.28,232,716,857,-0.29999999999999716,6.21,115,145,118,150,293,323,296,"-13.4","13.4"
1568,677690,"Arias, Diosbel",2023,1568,100,0.286,0.136,0.409,0.422,0.342,0.269,0.211,101,353,86.5,12.4,2201,87.9,88.19,229,733,835,0.29999999999999716,6.28,108,150,118,145,300,320,289,"-7.8","7.8"
1560,668723,"Vilade, Ryan",2022,1560,100,0.249,0.103,0.291,0.352,0.313,0.298,0.229,92,369,86.8,7.6,2233,87.7,88.13,145,728,832,0.3999999999999915,6.3,105,150,116,147,292,321,289,"0.5","-0.5"
1560,669911,"Toglia, Michael",2023,1560,100,0.256,0.218,0.296,0.474,0.361,0.343,0.249,79,308,89.4,17.5,2148,87.4,87.61,198,670,889,0.19999999999998863,6.29,113,147,124,149,299,331,303,"-14.3","14.3"
1557,642451,"Liberato, Luis",2022,1557,100,0.261,0.28,0.307,0.541,0.381,0.33,0.241,86,329,88.3,12.8,2224,87.5,87.92,214,747,810,0.4000000000000057,6.35,114,153,117,148,289,323,286,"-13.7","13.7"
1542,667663,"Stovall, Hunter",2023,1542,100,0.278,0.13,0.311,0.408,0.33,0.299,0.25,107,385,86.1,8.9,2237,88.6,89.07,160,734,808,0.5,6.32,106,149,116,146,302,324,293,"-3.4","3.4"
1541,681584,"Villar, David",2022,1541,100,0.275,0.342,0.306,0.617,0.432,0.359,0.227,82,298,88.8,22.4,2235,87.1,87.19,206,664,877,0.10000000000000853,6.25,105,150,120,145,297,326,294,"-45.6","45.6"
1537,669127,"Langeliers, Shea",2022,1531,100.4,0.283,0.227,0.327,0.51,0.378,0.321,0.236,100,353,89.8,17.1,2246,87,87.28,221,749,788,0.29999999999999716,6.25,103,150,121,146,250,317,291,"-15.2","15.2"
1520,694376,"Whitcomb, Shay",2023,1520,100,0.224,0.211,0.266,0.435,0.305,0.303,0.23,81,361,88,15.9,2199,88,88.33,259,802,718,0.29999999999999716,6.28,107,150,119,146,290,314,285,"13","-13"
1518,668843,"Capel, Conner",2023,1518,100,0.252,0.15,0.31,0.402,0.33,0.291,0.225,86,341,85.7,11.8,2214,88.4,88.66,153,659,859,0.29999999999999716,6.24,114,146,113,149,293,327,298,"-0.4","0.4"
1515,666179,"Beer, Seth",2022,1503,100.8,0.242,0.193,0.259,0.435,0.349,0.332,0.226,80,331,87.6,13,2198,87,86.87,203,745,770,-0.09999999999999432,6.19,113,167,133,148,294,324,301,"-10.2","10.2"
1494,671083,"Kennedy, Buddy",2022,1484,100.7,0.261,0.124,0.311,0.385,0.333,0.321,0.242,86,330,88.5,13,2208,87.4,87.1,114,612,882,-0.30000000000001137,6.2,106,151,120,147,300,320,285,"2.3","-2.3"
1489,675656,"Smith, Kevin",2022,1487,100.1,0.268,0.178,0.36,0.446,0.336,0.277,0.216,89,332,86.5,19,2245,87.8,88.06,244,768,721,0.29999999999999716,6.23,105,149,117,144,282,321,293,"1.8","-1.8"
1481,672284,"Kelenic, Jarred",2022,1481,100,0.295,0.261,0.339,0.557,0.392,0.342,0.264,104,352,90.7,12.4,2180,87.5,87.57,180,691,789,0.09999999999999432,6.27,112,157,124,149,286,320,297,"-21.1","21.1"
1479,670869,"Soto, Livan",2023,1479,100,0.248,0.141,0.313,0.389,0.325,0.273,0.202,74,298,85.3,10.5,2194,88.3,88.55,156,628,851,0.20000000000000284,6.24,112,144,111,149,293,325,296,"7.8","-7.8"
